Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Category,Sub_Category,Product_Name,Quantity,Price,Discount,Payment_Mode,Shipping_Cost,Profit
ORD10015,2025-09-01,CUST1141,Customer 43,South,Bengaluru,Electronics,Headphones,JBL Headphones,2,70622,5,COD,377,133804.8
ORD10016,2025-07-11,CUST1113,Customer 133,East,Ranchi,Electronics,Headphones,Sony Headphones,4,41657,15,Card,372,141261.8
ORD10017,2025-10-29,CUST1057,Customer 2,West,Mumbai,Electronics,Mobile,Samsung Galaxy,6,3557,20,Card,157,16916.6
ORD10018,2025-12-09,CUST1125,Customer 55,North,Delhi,Electronics,Mobile,Samsung Galaxy,6,10087,20,COD,182,48235.6
ORD10019,2025-07-01,CUST1109,Customer 106,South,Kochi,Electronics,Laptop,Acer Aspire,4,13163,0,Card,260,52392
ORD10020,2025-02-25,CUST1064,Customer 50,West,Mumbai,Home,Decor,Flower Vase,2,1493,15,Card,213,2325.1
ORD10021,2025-10-09,CUST1026,Customer 13,South,Kochi,Electronics,Laptop,Dell Inspiron,5,61437,5,COD,266,291559.75
ORD10022,2025-03-26,CUST1098,Customer 1,North,Delhi,Electronics,Mobile,Redmi Note,8,63892,5,UPI,70,485509.2
ORD10023,2025-01-30,CUST1149,Customer 139,West,Ahmedabad,Clothing,Women,Women Jeans,8,1034,5,UPI,151,7707.4
ORD10024,2025-04-06,CUST1018,Customer 18,North,Chandigarh,Electronics,Mobile,Redmi Note,3,8255,20,COD,475,19337
ORD10025,2025-10-17,CUST1134,Customer 81,South,Kochi,Electronics,Headphones,Boat Headphones,1,11545,15,Card,338,9475.25
ORD10026,2025-11-27,CUST1077,Customer 118,East,Bhubaneswar,Home,Decor,Table Lamp,4,4851,15,COD,383,16110.4
ORD10027,2025-03-09,CUST1090,Customer 18,East,Kolkata,Electronics,Laptop,HP Pavilion,2,71268,5,Card,175,135234.2
ORD10028,2025-12-08,CUST1142,Customer 77,South,Hyderabad,Clothing,Men,Men Jeans,5,2905,25,Card,44,10849.75
ORD10029,2025-06-25,CUST1053,Customer 68,North,Jaipur,Clothing,Men,Men T-Shirt,3,1515,10,Card,147,3943.5
ORD10030,2025-03-08,CUST1068,Customer 42,West,Ahmedabad,Electronics,Mobile,Redmi Note,5,6578,0,UPI,434,32456
ORD10031,2025-07-09,CUST1150,Customer 142,West,Surat,Home,Furniture,Office Chair,2,11821,5,Card,58,22401.9
ORD10032,2025-05-08,CUST1027,Customer 91,South,Kochi,Electronics,Mobile,OnePlus Nord,6,6029,10,COD,389,32167.6
ORD10033,2025-07-30,CUST1064,Customer 69,West,Pune,Electronics,Mobile,iPhone,7,4048,5,Card,210,26709.2
ORD10034,2025-04-27,CUST1058,Customer 7,South,Bengaluru,Clothing,Men,Men Jeans,4,1217,15,UPI,196,3941.8
ORD10035,2025-12-14,CUST1138,Customer 85,South,Kochi,Clothing,Women,Women Kurti,5,1838,25,Card,244,6648.5
ORD10036,2025-06-26,CUST1081,Customer 112,North,Delhi,Clothing,Men,Men Shirt,5,556,0,Card,262,2518
ORD10037,2025-10-03,CUST1051,Customer 94,North,Lucknow,Home,Furniture,Study Table,1,7644,0,Card,452,7192
ORD10038,2025-06-03,CUST1130,Customer 80,West,Mumbai,Home,Kitchen,Cookware Set,6,11368,0,Card,500,67708
ORD10039,2025-12-13,CUST1045,Customer 146,West,Ahmedabad,Clothing,Kids,Kids Jeans,3,1185,15,Card,234,2787.75
ORD10040,2025-12-02,CUST1083,Customer 120,East,Ranchi,Home,Furniture,Study Table,5,3943,15,Card,350,16407.75
ORD10041,2025-09-21,CUST1086,Customer 24,West,Surat,Home,Furniture,Bookshelf,8,3280,25,COD,185,19495
ORD10042,2025-02-07,CUST1117,Customer 107,South,Hyderabad,Electronics,Mobile,iPhone,1,6857,5,UPI,352,6162.15
ORD10043,2025-02-24,CUST1109,Customer 57,South,Kochi,Clothing,Women,Women Kurti,3,3087,25,COD,497,6448.75
ORD10044,2025-09-29,CUST1144,Customer 82,South,Kochi,Electronics,Headphones,Boat Headphones,2,60629,5,UPI,381,114814.1
ORD10045,2025-11-23,CUST1071,Customer 134,West,Surat,Home,Kitchen,Mixer Grinder,8,7873,10,COD,470,56215.6
ORD10046,2025-10-04,CUST1021,Customer 36,West,Pune,Clothing,Women,Women Kurti,5,1360,10,UPI,203,5917
ORD10047,2025-10-05,CUST1120,Customer 107,South,Chennai,Clothing,Kids,Kids T-Shirt,4,663,15,UPI,209,2045.2
ORD10048,2025-06-30,CUST1077,Customer 100,North,Jaipur,Clothing,Women,Women Top,1,2758,15,UPI,43,2301.3
ORD10049,2025-12-09,CUST1104,Customer 43,West,Pune,Clothing,Men,Men Jeans,7,2389,0,UPI,212,16511
ORD10050,2025-02-12,CUST1110,Customer 35,West,Pune,Home,Decor,Wall Clock,7,10197,20,Card,53,57050.2
ORD10051,2025-07-14,CUST1072,Customer 108,West,Pune,Electronics,Laptop,Acer Aspire,6,28542,15,UPI,212,145352.2
ORD10052,2025-11-30,CUST1011,Customer 8,East,Kolkata,Clothing,Men,Men Shirt,1,1833,5,Card,75,1666.35
ORD10053,2025-10-16,CUST1056,Customer 120,South,Chennai,Electronics,Headphones,Boat Headphones,4,17344,15,Card,98,58871.6
ORD10054,2025-01-14,CUST1080,Customer 148,East,Patna,Electronics,Headphones,Sony Headphones,2,22265,10,COD,336,39741
ORD10055,2025-12-17,CUST1031,Customer 145,West,Surat,Home,Furniture,Office Chair,4,2169,25,UPI,475,6032
ORD10056,2025-01-07,CUST1108,Customer 126,North,Chandigarh,Home,Kitchen,Cookware Set,6,1629,20,Card,214,7605.2
ORD10057,2025-11-30,CUST1070,Customer 138,North,Lucknow,Clothing,Kids,Kids Jeans,3,2183,5,Card,307,5914.55
ORD10058,2025-08-19,CUST1063,Customer 119,West,Surat,Clothing,Kids,Kids Dress,5,1720,5,COD,182,7988
ORD10059,2025-05-13,CUST1088,Customer 72,West,Ahmedabad,Electronics,Laptop,Lenovo IdeaPad,3,64704,5,UPI,448,183958.4
ORD10060,2025-05-04,CUST1122,Customer 126,East,Kolkata,Home,Furniture,Office Chair,4,7158,15,Card,428,23909.2
ORD10061,2025-07-08,CUST1122,Customer 142,West,Mumbai,Electronics,Laptop,Dell Inspiron,7,32690,10,Card,337,205610
ORD10062,2025-04-29,CUST1031,Customer 50,East,Ranchi,Home,Decor,Table Lamp,6,7934,10,UPI,168,42675.6
ORD10063,2025-05-22,CUST1135,Customer 73,East,Kolkata,Home,Decor,Flower Vase,3,3638,5,Card,287,10081.3
ORD10064,2025-03-06,CUST1071,Customer 12,North,Jaipur,Clothing,Men,Men Jeans,3,1638,0,Card,313,4601
ORD10065,2025-08-29,CUST1123,Customer 113,North,Chandigarh,Home,Furniture,Bookshelf,8,2180,0,Card,185,17255
ORD10066,2025-10-23,CUST1014,Customer 39,East,Bhubaneswar,Electronics,Laptop,Acer Aspire,2,9364,15,UPI,77,15841.8
ORD10067,2025-08-15,CUST1077,Customer 110,South,Hyderabad,Electronics,Mobile,Samsung Galaxy,7,30381,20,UPI,270,169863.6
ORD10068,2025-02-11,CUST1041,Customer 62,East,Kolkata,Home,Decor,Wall Clock,4,10748,5,UPI,378,40464.4
ORD10069,2025-05-28,CUST1073,Customer 117,South,Bengaluru,Electronics,Mobile,Redmi Note,8,62392,10,COD,158,449064.4
ORD10070,2025-11-28,CUST1039,Customer 69,North,Jaipur,Clothing,Kids,Kids Dress,4,2141,0,Card,155,8409
ORD10071,2025-06-05,CUST1104,Customer 70,South,Bengaluru,Electronics,Mobile,OnePlus Nord,5,58360,0,UPI,392,291408
ORD10072,2025-02-16,CUST1059,Customer 148,West,Surat,Electronics,Headphones,Boat Headphones,7,43047,20,UPI,53,241010.2
ORD10073,2025-04-03,CUST1150,Customer 112,North,Chandigarh,Home,Furniture,Office Chair,8,9002,25,UPI,182,53830
ORD10074,2025-03-24,CUST1085,Customer 106,West,Mumbai,Clothing,Women,Women Jeans,6,1715,25,COD,479,7238.5
ORD10075,2025-06-15,CUST1030,Customer 104,West,Ahmedabad,Home,Kitchen,Cookware Set,1,7951,0,UPI,169,7782
ORD10076,2025-01-27,CUST1053,Customer 69,North,Lucknow,Clothing,Men,Men T-Shirt,6,2950,15,Card,266,14779
ORD10077,2025-05-03,CUST1041,Customer 80,South,Hyderabad,Clothing,Kids,Kids Jeans,2,518,25,Card,449,328
ORD10078,2025-05-30,CUST1131,Customer 70,North,Lucknow,Electronics,Mobile,Samsung Galaxy,8,16196,25,COD,295,96881
ORD10079,2025-03-11,CUST1018,Customer 71,West,Surat,Clothing,Men,Men Jeans,3,1971,5,Card,300,5317.35
ORD10080,2025-09-08,CUST1039,Customer 115,West,Ahmedabad,Home,Kitchen,Mixer Grinder,5,5391,20,Card,377,21187
ORD10081,2025-05-03,CUST1147,Customer 99,West,Ahmedabad,Clothing,Kids,Kids Dress,7,2265,10,COD,397,13872.5
ORD10082,2025-09-11,CUST1010,Customer 33,South,Kochi,Electronics,Laptop,Acer Aspire,7,51404,25,Card,117,269754
ORD10083,2025-12-02,CUST1040,Customer 20,East,Kolkata,Clothing,Men,Men Shirt,8,462,25,COD,249,2523
ORD10084,2025-12-12,CUST1137,Customer 98,West,Ahmedabad,Clothing,Kids,Kids Dress,7,3061,0,UPI,476,20951
ORD10085,2025-04-27,CUST1024,Customer 112,East,Ranchi,Home,Furniture,Bookshelf,2,4346,25,Card,187,6332
ORD10086,2025-01-29,CUST1076,Customer 92,North,Delhi,Clothing,Men,Men Shirt,5,518,0,UPI,447,2143
ORD10087,2025-07-15,CUST1062,Customer 128,East,Ranchi,Electronics,Mobile,Redmi Note,3,23080,5,COD,352,65426
ORD10088,2025-08-27,CUST1074,Customer 140,South,Chennai,Clothing,Kids,Kids Jeans,8,1445,25,COD,500,8170
ORD10089,2025-08-22,CUST1078,Customer 51,South,Bengaluru,Clothing,Women,Women Top,5,3017,15,Card,168,12654.25
ORD10090,2025-12-04,CUST1102,Customer 71,West,Surat,Electronics,Mobile,Redmi Note,6,39580,25,UPI,51,178059
ORD10091,2025-11-22,CUST1049,Customer 65,North,Delhi,Home,Decor,Table Lamp,5,4270,20,UPI,152,16928
ORD10092,2025-03-09,CUST1024,Customer 76,South,Bengaluru,Home,Decor,Wall Clock,5,7722,0,Card,226,38384
ORD10093,2025-03-26,CUST1066,Customer 124,East,Ranchi,Electronics,Mobile,iPhone,6,70379,20,UPI,465,337354.2
ORD10094,2025-07-23,CUST1143,Customer 94,East,Patna,Electronics,Laptop,HP Pavilion,3,30371,25,Card,385,67949.75
ORD10095,2025-05-15,CUST1150,Customer 98,North,Lucknow,Electronics,Laptop,HP Pavilion,8,49111,25,Card,384,294282
ORD10096,2025-04-24,CUST1017,Customer 119,East,Kolkata,Home,Furniture,Study Table,1,10650,20,UPI,352,8168
ORD10097,2025-05-01,CUST1138,Customer 35,East,Ranchi,Electronics,Mobile,Samsung Galaxy,1,40693,15,COD,89,34500.05
ORD10098,2025-08-01,CUST1026,Customer 126,West,Surat,Clothing,Kids,Kids Dress,7,2805,25,Card,119,14607.25
ORD10099,2025-07-05,CUST1026,Customer 95,West,Ahmedabad,Electronics,Headphones,JBL Headphones,4,58915,15,COD,477,199834
ORD10100,2025-11-25,CUST1006,Customer 13,East,Kolkata,Clothing,Women,Women Kurti,2,2262,0,Card,148,4376
ORD10101,2025-04-30,CUST1085,Customer 38,East,Bhubaneswar,Electronics,Headphones,Boat Headphones,2,73441,5,Card,150,139387.9
ORD10102,2025-01-08,CUST1092,Customer 61,North,Chandigarh,Electronics,Mobile,OnePlus Nord,3,15208,25,COD,107,34111
ORD10103,2025-02-02,CUST1122,Customer 115,East,Kolkata,Electronics,Laptop,HP Pavilion,3,55976,20,COD,421,133921.4
ORD10104,2025-08-23,CUST1008,Customer 16,East,Kolkata,Clothing,Kids,Kids T-Shirt,1,3378,25,Card,194,2339.5
ORD10105,2025-02-11,CUST1083,Customer 38,West,Surat,Clothing,Kids,Kids T-Shirt,8,3317,15,COD,500,22055.6
ORD10106,2025-08-21,CUST1130,Customer 111,North,Jaipur,Clothing,Kids,Kids Dress,6,1960,20,Card,190,9218
ORD10107,2025-06-23,CUST1117,Customer 103,North,Delhi,Home,Decor,Flower Vase,4,7546,15,COD,251,25405.4
ORD10108,2025-02-04,CUST1024,Customer 22,West,Mumbai,Clothing,Women,Women Jeans,5,1933,5,Card,282,8899.75
ORD10109,2025-10-15,CUST1144,Customer 85,North,Lucknow,Electronics,Headphones,Sony Headphones,6,17854,20,COD,340,85359.2
ORD10110,2025-02-23,CUST1148,Customer 130,North,Lucknow,Clothing,Kids,Kids Jeans,1,1578,20,UPI,220,1042.4
ORD10111,2025-05-23,CUST1147,Customer 58,South,Chennai,Home,Kitchen,Mixer Grinder,2,6236,20,UPI,98,9879.6
ORD10112,2025-06-08,CUST1087,Customer 90,West,Mumbai,Home,Decor,Flower Vase,5,974,5,UPI,399,4227.5
ORD10113,2025-01-16,CUST1024,Customer 136,North,Jaipur,Electronics,Headphones,Sony Headphones,7,9920,5,Card,364,65604
ORD10114,2025-10-18,CUST1022,Customer 14,South,Kochi,Clothing,Women,Women Jeans,3,1915,10,Card,206,4964.5
ORD10115,2025-09-06,CUST1114,Customer 107,South,Chennai,Home,Furniture,Bookshelf,2,4958,15,Card,257,8171.6
ORD10116,2025-10-31,CUST1125,Customer 135,East,Bhubaneswar,Home,Furniture,Study Table,7,2316,10,Card,387,14203.8
ORD10117,2025-03-12,CUST1066,Customer 75,East,Kolkata,Electronics,Laptop,HP Pavilion,1,27594,10,COD,432,24402.6
ORD10118,2025-04-28,CUST1129,Customer 144,East,Kolkata,Electronics,Laptop,Acer Aspire,3,17732,15,Card,400,44816.6
ORD10119,2025-06-10,CUST1148,Customer 110,East,Kolkata,Clothing,Kids,Kids T-Shirt,7,476,15,COD,481,2351.2
ORD10120,2025-12-20,CUST1093,Customer 23,West,Surat,Clothing,Men,Men Jeans,1,1730,5,Card,275,1368.5
ORD10121,2025-04-24,CUST1086,Customer 44,West,Mumbai,Electronics,Laptop,Acer Aspire,2,52673,10,Card,213,94598.4
ORD10122,2025-03-17,CUST1061,Customer 27,North,Delhi,Home,Decor,Wall Clock,6,6252,25,Card,457,27677
ORD10123,2025-10-16,CUST1149,Customer 115,South,Hyderabad,Electronics,Mobile,iPhone,2,24018,25,UPI,277,35750
ORD10124,2025-05-21,CUST1015,Customer 91,East,Patna,Electronics,Laptop,HP Pavilion,8,58761,25,UPI,447,352119
ORD10125,2025-02-16,CUST1130,Customer 99,North,Chandigarh,Clothing,Women,Women Kurti,1,1910,10,COD,370,1349
ORD10126,2025-03-19,CUST1016,Customer 116,West,Mumbai,Clothing,Kids,Kids Dress,4,1716,20,UPI,296,5195.2
ORD10127,2025-08-13,CUST1135,Customer 134,North,Chandigarh,Home,Furniture,Bookshelf,3,1141,5,Card,264,2987.85
ORD10128,2025-11-20,CUST1086,Customer 17,South,Hyderabad,Clothing,Women,Women Jeans,7,1785,25,Card,66,9305.25
ORD10129,2025-03-18,CUST1086,Customer 21,East,Kolkata,Home,Decor,Table Lamp,5,4628,25,Card,348,17007
ORD10130,2025-06-08,CUST1144,Customer 97,South,Hyderabad,Clothing,Kids,Kids Dress,7,928,20,Card,83,5113.8
ORD10131,2025-07-05,CUST1005,Customer 93,East,Bhubaneswar,Home,Decor,Flower Vase,2,11084,25,UPI,300,16326
ORD10132,2025-06-01,CUST1026,Customer 130,East,Bhubaneswar,Electronics,Laptop,Acer Aspire,4,30493,5,COD,79,115794.4
ORD10133,2025-12-21,CUST1043,Customer 113,North,Chandigarh,Home,Furniture,Bookshelf,7,3027,5,COD,465,19664.55
ORD10134,2025-08-18,CUST1060,Customer 137,North,Lucknow,Clothing,Kids,Kids Dress,4,2219,20,UPI,425,6675.8
ORD10135,2025-09-28,CUST1108,Customer 42,South,Hyderabad,Clothing,Men,Men Jeans,8,2291,10,UPI,297,16198.2
ORD10136,2025-09-22,CUST1032,Customer 73,South,Chennai,Clothing,Men,Men Shirt,8,1920,20,COD,404,11884
ORD10137,2025-08-19,CUST1090,Customer 7,North,Jaipur,Clothing,Women,Women Top,3,2191,0,COD,458,6115
ORD10138,2025-01-15,CUST1082,Customer 26,West,Mumbai,Clothing,Kids,Kids Jeans,4,1981,0,UPI,154,7770
ORD10139,2025-11-12,CUST1002,Customer 21,East,Bhubaneswar,Electronics,Mobile,OnePlus Nord,8,18991,25,UPI,269,113677
ORD10140,2025-01-25,CUST1062,Customer 108,North,Chandigarh,Electronics,Mobile,Redmi Note,2,38562,5,UPI,102,73165.8
ORD10141,2025-11-11,CUST1091,Customer 62,West,Mumbai,Electronics,Laptop,HP Pavilion,4,19618,10,UPI,40,70584.8
ORD10142,2025-09-17,CUST1142,Customer 6,West,Pune,Home,Decor,Wall Clock,6,1608,20,Card,299,7419.4
ORD10143,2025-02-04,CUST1089,Customer 62,West,Surat,Electronics,Headphones,JBL Headphones,6,34046,25,COD,222,152985
ORD10144,2025-09-03,CUST1047,Customer 35,North,Chandigarh,Electronics,Mobile,OnePlus Nord,6,23749,25,UPI,396,106474.5
ORD10145,2025-09-21,CUST1102,Customer 140,North,Lucknow,Electronics,Laptop,Dell Inspiron,1,26944,0,UPI,198,26746
ORD10146,2025-05-20,CUST1032,Customer 95,West,Ahmedabad,Electronics,Headphones,Boat Headphones,5,47589,0,Card,209,237736
ORD10147,2025-07-08,CUST1133,Customer 69,West,Surat,Home,Kitchen,Electric Kettle,6,3560,15,Card,294,17862
ORD10148,2025-12-05,CUST1076,Customer 79,North,Lucknow,Electronics,Laptop,Dell Inspiron,5,42901,0,COD,207,214298
ORD10149,2025-06-30,CUST1112,Customer 71,West,Surat,Electronics,Headphones,JBL Headphones,6,59406,0,Card,485,355951
ORD10150,2025-01-16,CUST1037,Customer 113,North,Delhi,Home,Decor,Table Lamp,6,8906,25,Card,121,39956
ORD10151,2025-03-20,CUST1116,Customer 95,North,Jaipur,Electronics,Mobile,OnePlus Nord,6,50981,20,COD,349,244359.8
ORD10152,2025-05-08,CUST1030,Customer 7,East,Ranchi,Electronics,Headphones,Boat Headphones,6,52971,10,Card,182,285861.4
ORD10153,2025-04-20,CUST1074,Customer 126,South,Kochi,Home,Kitchen,Cookware Set,2,4788,10,Card,268,8350.4
ORD10154,2025-06-13,CUST1089,Customer 17,South,Bengaluru,Electronics,Mobile,Redmi Note,3,59141,0,Card,472,176951
ORD10155,2025-04-13,CUST1036,Customer 61,East,Patna,Electronics,Headphones,Sony Headphones,3,48181,20,COD,102,115532.4
ORD10156,2025-02-14,CUST1017,Customer 80,West,Mumbai,Clothing,Kids,Kids Dress,6,2314,20,COD,353,10754.2
ORD10157,2025-08-19,CUST1120,Customer 133,West,Surat,Home,Kitchen,Electric Kettle,2,2553,10,Card,77,4518.4
ORD10158,2025-01-29,CUST1032,Customer 133,East,Bhubaneswar,Home,Decor,Flower Vase,3,2614,15,Card,484,6181.7
ORD10159,2025-02-10,CUST1065,Customer 51,South,Hyderabad,Electronics,Mobile,OnePlus Nord,4,46153,20,UPI,473,147216.6
ORD10160,2025-10-25,CUST1040,Customer 44,East,Bhubaneswar,Home,Kitchen,Cookware Set,2,8734,25,COD,343,12758
ORD10161,2025-11-24,CUST1008,Customer 128,East,Kolkata,Electronics,Mobile,Samsung Galaxy,5,28431,20,UPI,356,113368
ORD10162,2025-01-31,CUST1041,Customer 113,East,Patna,Clothing,Men,Men Shirt,7,1618,15,COD,392,9235.1
ORD10163,2025-06-26,CUST1103,Customer 34,West,Surat,Clothing,Men,Men Jeans,3,1680,25,UPI,415,3365
ORD10164,2025-02-19,CUST1013,Customer 75,East,Kolkata,Clothing,Men,Men Jeans,2,1495,15,COD,112,2429.5
ORD10165,2025-08-28,CUST1128,Customer 79,West,Surat,Electronics,Mobile,OnePlus Nord,6,25681,5,UPI,303,146078.7
ORD10166,2025-01-26,CUST1073,Customer 127,West,Mumbai,Electronics,Laptop,Acer Aspire,4,28999,20,UPI,64,92732.8
ORD10167,2025-07-26,CUST1094,Customer 12,West,Ahmedabad,Home,Furniture,Office Chair,7,2694,10,Card,227,16745.2
ORD10168,2025-09-16,CUST1116,Customer 141,West,Mumbai,Home,Decor,Wall Clock,6,9564,10,COD,237,51408.6
ORD10169,2025-03-15,CUST1051,Customer 131,East,Kolkata,Electronics,Mobile,Redmi Note,6,45244,20,UPI,426,216745.2
ORD10170,2025-11-07,CUST1132,Customer 36,West,Mumbai,Electronics,Mobile,iPhone,6,62894,20,UPI,116,301775.2
ORD10171,2025-12-29,CUST1145,Customer 77,East,Patna,Electronics,Laptop,Lenovo IdeaPad,6,67294,20,Card,290,322721.2
ORD10172,2025-12-19,CUST1007,Customer 122,West,Mumbai,Clothing,Women,Women Top,2,2106,20,UPI,447,2922.6
ORD10173,2025-11-14,CUST1098,Customer 38,East,Bhubaneswar,Home,Furniture,Bookshelf,8,3293,20,Card,409,20666.2
ORD10174,2025-03-19,CUST1106,Customer 53,South,Bengaluru,Home,Decor,Wall Clock,4,810,15,UPI,254,2500
ORD10175,2025-12-06,CUST1123,Customer 135,West,Surat,Home,Decor,Wall Clock,3,8998,5,Card,206,25438.3
ORD10176,2025-05-07,CUST1072,Customer 143,West,Ahmedabad,Electronics,Laptop,Lenovo IdeaPad,6,35450,20,UPI,138,170022
ORD10177,2025-09-03,CUST1090,Customer 144,East,Bhubaneswar,Clothing,Women,Women Top,4,3227,25,UPI,202,9479
ORD10178,2025-01-22,CUST1074,Customer 21,East,Patna,Electronics,Headphones,Sony Headphones,7,52512,10,COD,188,330637.6
ORD10179,2025-10-15,CUST1070,Customer 36,East,Ranchi,Home,Kitchen,Cookware Set,8,4005,5,Card,178,30260
ORD10180,2025-08-30,CUST1026,Customer 36,North,Jaipur,Electronics,Mobile,iPhone,4,7680,0,UPI,209,30511
ORD10181,2025-05-27,CUST1016,Customer 23,North,Jaipur,Clothing,Kids,Kids Jeans,8,3064,5,UPI,204,23082.4
ORD10182,2025-05-29,CUST1010,Customer 3,South,Bengaluru,Electronics,Laptop,Dell Inspiron,1,52834,15,COD,423,44485.9
ORD10183,2025-04-09,CUST1029,Customer 85,East,Kolkata,Clothing,Women,Women Jeans,8,949,20,UPI,179,5894.6
ORD10184,2025-06-01,CUST1146,Customer 50,South,Kochi,Home,Kitchen,Cookware Set,3,730,25,UPI,444,1198.5
ORD10185,2025-03-13,CUST1123,Customer 83,South,Kochi,Clothing,Kids,Kids Jeans,2,2041,25,COD,134,2927.5
ORD10186,2025-10-26,CUST1147,Customer 3,South,Bengaluru,Clothing,Women,Women Kurti,8,3487,10,UPI,194,24912.4
ORD10187,2025-12-18,CUST1129,Customer 80,East,Patna,Home,Furniture,Office Chair,2,8125,10,COD,247,14378
ORD10188,2025-11-07,CUST1096,Customer 107,North,Chandigarh,Clothing,Kids,Kids T-Shirt,4,947,15,COD,272,2947.8
ORD10189,2025-07-05,CUST1020,Customer 145,West,Pune,Electronics,Headphones,Sony Headphones,2,69679,15,Card,400,118054.3
ORD10190,2025-03-01,CUST1053,Customer 150,North,Delhi,Home,Decor,Wall Clock,3,3195,10,Card,266,8360.5
ORD10191,2025-10-16,CUST1015,Customer 144,West,Mumbai,Home,Kitchen,Mixer Grinder,8,2661,20,UPI,273,16757.4
ORD10192,2025-02-07,CUST1012,Customer 109,West,Ahmedabad,Home,Furniture,Study Table,5,549,25,COD,336,1722.75
ORD10193,2025-03-11,CUST1108,Customer 96,East,Kolkata,Home,Furniture,Office Chair,8,1019,10,UPI,132,7204.8
ORD10194,2025-10-03,CUST1101,Customer 136,West,Surat,Clothing,Women,Women Kurti,3,3076,10,COD,131,8174.2
ORD10195,2025-04-28,CUST1064,Customer 118,South,Chennai,Electronics,Mobile,OnePlus Nord,8,72161,15,Card,234,490460.8
ORD10196,2025-01-09,CUST1062,Customer 53,East,Bhubaneswar,Clothing,Men,Men Shirt,2,531,25,UPI,354,442.5
ORD10197,2025-08-13,CUST1060,Customer 139,North,Delhi,Home,Furniture,Study Table,1,4509,25,COD,245,3136.75
ORD10198,2025-12-11,CUST1083,Customer 61,South,Bengaluru,Electronics,Headphones,JBL Headphones,4,42599,20,Card,435,135881.8
ORD10199,2025-10-30,CUST1045,Customer 110,East,Bhubaneswar,Home,Decor,Wall Clock,7,5423,10,COD,325,33839.9
ORD10200,2025-07-29,CUST1039,Customer 77,West,Mumbai,Clothing,Kids,Kids Dress,7,2548,10,Card,253,15799.4
ORD10201,2025-08-26,CUST1015,Customer 144,West,Pune,Home,Kitchen,Mixer Grinder,4,5427,25,COD,452,15829
ORD10202,2025-11-28,CUST1021,Customer 116,West,Surat,Home,Decor,Wall Clock,7,4478,10,COD,209,28002.4
ORD10203,2025-11-05,CUST1011,Customer 19,East,Kolkata,Home,Decor,Wall Clock,1,4898,15,Card,349,3814.3
ORD10204,2025-03-02,CUST1123,Customer 63,South,Chennai,Clothing,Men,Men Jeans,5,462,5,COD,419,1775.5
ORD10205,2025-07-03,CUST1079,Customer 67,South,Kochi,Electronics,Headphones,JBL Headphones,5,50694,15,Card,372,215077.5
ORD10206,2025-07-31,CUST1012,Customer 145,East,Ranchi,Clothing,Men,Men Shirt,8,1711,5,UPI,200,12803.6
ORD10207,2025-07-14,CUST1146,Customer 63,South,Chennai,Electronics,Laptop,Acer Aspire,5,20776,5,UPI,157,98529
ORD10208,2025-06-30,CUST1044,Customer 36,West,Ahmedabad,Clothing,Women,Women Top,8,2287,5,Card,447,16934.2
ORD10209,2025-01-04,CUST1106,Customer 36,West,Pune,Home,Decor,Wall Clock,1,1717,25,COD,431,856.75
ORD10210,2025-11-13,CUST1124,Customer 125,South,Bengaluru,Home,Furniture,Office Chair,4,8785,15,UPI,70,29799
ORD10211,2025-10-02,CUST1074,Customer 5,North,Delhi,Home,Decor,Table Lamp,1,774,20,Card,180,439.2
